Label,Enumeration Value,Description
AntiCodeAnalysisTacticalObjectives,obfuscate imports,"Indicates that the malware instance is able to obfuscate its import table, making disassembly more difficult."
AntiCodeAnalysisTacticalObjectives,defeat call graph generation,Indicates that the malware instance is able to defeat accurate call graph generation during disassembly.
AntiCodeAnalysisTacticalObjectives,obfuscate runtime code,Indicates that the malware instance is able to obfuscate its runtime code.
AntiDetectionStrategicObjectives,security software evasion,"Indicates that the malware instance is able to evade security software (e.g., anti-virus tools)."
AntiDetectionStrategicObjectives,hide executing code,Indicates that the malware instance is able to hide its executing code.
AntiDetectionStrategicObjectives,self-modification,Indicates that the malware instance is able to modify itself.
AntiDetectionStrategicObjectives,anti-memory forensics,Indicates that the malware instance is able to prevent or make memory forensics more difficult
AntiDetectionStrategicObjectives,hide non-executing code,Indicates that the malware instance is able to hide its non-executing code.
AntiDetectionStrategicObjectives,hide malware artifacts,Indicates that the malware instance is able to hide its artifacts.
AntiDetectionTacticalObjectives,hide open network ports,Indicates that the malware instance is able to hide its open network ports.
AntiDetectionTacticalObjectives,execute before/external to kernel/hypervisor,"Indicates that the malware instance is able to execute some or all of its code before or external to the system's kernel or hypervisor (e.g., through the BIOS)."
AntiDetectionTacticalObjectives,encrypt self,Indicates that the malware is able to encrypt itself.
AntiDetectionTacticalObjectives,hide processes,Indicates that the malware instance is able to hide its processes.
AntiDetectionTacticalObjectives,hide network traffic,Indicates that the malware instance is able to hide its network traffic.
AntiDetectionTacticalObjectives,change/add content,Indicates that the malware instance is able to change or add to its content.
AntiDetectionTacticalObjectives,execute stealthy code,"Indicates that the malware instance is able to execute some or all of its code in a hidden manner (e.g., by injecting it into a benign process)."
AntiDetectionTacticalObjectives,hide registry artifacts,Indicates that the malware instance is able to hide its Windows registry artifacts.
AntiDetectionTacticalObjectives,hide userspace libraries,Indicates that the malware instance is able to hide its usage of userspace libraries.
AntiDetectionTacticalObjectives,hide arbitrary virtual memory,Indicates that the malware instance is able to hide arbitrary virtual memory to prevent retrieval.
AntiDetectionTacticalObjectives,execute non-main cpu code,"Indicates that the malware instance is able to execute some or all of its code on a secondary, non CPU processor (e.g., a GPU)."
AntiDetectionTacticalObjectives,feed misinformation during physical memory acquisition,Indicates that the malware instance is able to report inaccurate data when the content of physical memory is retrieved.
AntiDetectionTacticalObjectives,prevent physical memory acquisition,Indicates that the malware instance is able to prevent the contents of a system's physical memory from being retrieved.
AntiDetectionTacticalObjectives,prevent native api hooking,Indicates that the malware instance is able to prevent other software from hooking native APIs.
AntiDetectionTacticalObjectives,obfuscate artifact properties,"Indicates that the malware instance is able to hide the properties of its artifacts (e.g., by altering timestamps)."
AntiDetectionTacticalObjectives,hide kernel modules,Indicates that the malware instance is able to hide its usage of kernel modules.
AntiDetectionTacticalObjectives,hide code in file,Indicates that the malware instance is able to hide its code in a file.
AntiDetectionTacticalObjectives,hide services,Indicates that the malware instance is able to hide any system services it creates or injects itself into.
AntiDetectionTacticalObjectives,hide file system artifacts,Indicates that the malware instance is able to hide its file system artifacts.
AntiDetectionTacticalObjectives,hide threads,Indicates that the malware instance is able to hide its threads.
AntiRemovalStrategicObjectives,prevent malware artifact access,Indicates that the malware instance is able to prevent its artifacts from being accessed.
AntiRemovalStrategicObjectives,prevent malware artifact deletion,Indicates that the malware instance is able to prevent its artifacts from being deleted from a system.
AntiRemovalTacticalObjectives,prevent registry deletion,Indicates that the malware instance is able to prevent its Windows registry entries from being deleted from a system.
AntiRemovalTacticalObjectives,prevent api unhooking,Indicates that the malware instance is able to prevent its API hooks from being removed.
AntiRemovalTacticalObjectives,prevent file access,Indicates that the malware instance is able to prevent access to the file system.
AntiRemovalTacticalObjectives,prevent memory access,Indicates that the malware instance is able to prevent access to system memory where it may be storing code or data.
AntiRemovalTacticalObjectives,prevent registry access,Indicates that the malware instance is able to prevent access to the Windows registry.
AntiRemovalTacticalObjectives,prevent file deletion,Indicates that the malware instance is able to prevent its files from being deleted from a system.
AvailabilityViolationProperties,cryptocurrency type,Refers to the type of cryptocurrency targeted by the ‘mine for cryptocurrency’ Tactical Objective.
AvailabilityViolationStrategicObjectives,compromise data availability,Indicates that the malware instance is able to compromise the availability of data on a system.
AvailabilityViolationStrategicObjectives,compromise system availability,Indicates that the malware instance compromises the availability of the system.
AvailabilityViolationStrategicObjectives,cosume system resources,Indicates that the malware instance is able to consume system resources for its own purposes.
AvailabilityViolationTacticalObjectives,denial of service,"Indicates that the malware instance is able to cause a server to be unavailable, otherwise known as a denial of service (DOS)."
AvailabilityViolationTacticalObjectives,compromise local system availability,Indicates that the malware instance is able to cause the local system to be unavailable.
AvailabilityViolationTacticalObjectives,crack passwords,Indicates that the malware instance is able to consume system resources for password cracking.
AvailabilityViolationTacticalObjectives,mine for cryptocurrency,Indicates that the malware instance is able to consume system resources for cryptocurrency mining.
AvailabilityViolationTacticalObjectives,compromise access to information assets,"Indicates that the malware instance is able to prevent data from being accessed (e.g., by encrypting user data on a compromised system)."
CommandandControlProperties,frequency,"Refers to a description of the frequency that the ‘receive data from c2 server’ and ‘send data to c2 server’ Strategic Objectives, as well as their child Tactical Objectives, are employed. It is recommended that the description follow the format of ""every x [units]"", e.g., ""every 5 minutes""."
CommandandControlStrategicObjectives,determine c2 server,Indicates that the malware instance is able to identify one or more command and control (C2) servers with which to communicate.
CommandandControlStrategicObjectives,receive data from c2 server,"Indicates that the malware instance is able to control its behavior through some external stimulus (e.g., a remotely submitted command)."
CommandandControlStrategicObjectives,send data to c2 server,Indicates that the malware instance is able to send some data to a command and control server.
CommandandControlTacticalObjectives,check for payload,Indicates that the malware instance is able to query a command and control server to check whether a new malicious payload is available for download
CommandandControlTacticalObjectives,validate data,Indicates that the malware instance is able to validate the integrity of the data it receives from a command and control server.
CommandandControlTacticalObjectives,control malware via remote command,Indicates that the malware instance is able to execute commands issued to it from a remote source such as a command and control server for the purpose of controlling its behavior.
CommandandControlTacticalObjectives,send system information,Indicates that the malware instance is able to send data regarding the system on which it is executing to a command and control server.
CommandandControlTacticalObjectives,send heartbeat data,"Indicates that the malware instance is able to send heartbeat data to a command and control server, indicating that it is still active on the host system and able to communicate."
CommandandControlTacticalObjectives,generate c2 domain name(s),Indicates that the malware instance is able to generate the domain name of the command and control server to which it connects.
CommandandControlTacticalObjectives,update configuration,Indicates that the malware instance is able to update its configuration using data received from a command and control server.
DataExfiltrationProperties,archive type,Refers to the name of the file archive format used in the ‘stage data for exfiltration’ Strategic Objective and/or its ‘package data’ Tactical Objective.
DataExfiltrationProperties,file type,Refers to the name of the file format used for storing data to be exfiltrated as part of the data exfiltration Capability or its child Objectives.
DataExfiltrationStrategicObjectives,perform data exfiltration,Indicates that the malware instance is able to perform data exfiltration via some physical or virtual means.
DataExfiltrationStrategicObjectives,obfuscate data for exfiltration,Indicates that the malware is able to obfuscate data that will be exfiltrated.
DataExfiltrationStrategicObjectives,stage data for exfiltration,Indicates that the malware instance is able to gather and prepare data for exfiltration.
DataExfiltrationTacticalObjectives,exfiltrate via network,Indicates that that the malware instance is able to exfiltrate data using a covert channel.
DataExfiltrationTacticalObjectives,hide data,Indicates that the malware instance is able to exfiltrate data using a fax system.
DataExfiltrationTacticalObjectives,package data,"Indicates that the malware instance is able to exfiltrate data using physical media (e.g., a USB drive)."
DataExfiltrationTacticalObjectives,exfiltrate via dumpster dive,Indicates that the malware instance is able to encrypt data that will be exfiltrated.
DataExfiltrationTacticalObjectives,move data to staging server,Indicates that the malware instance is able to exfiltrate data across the network.
DataExfiltrationTacticalObjectives,exfiltrate via voip/phone,Indicates that the malware instance is able to hide data that will be exfiltrated in other formats (also known as steganography).
DataExfiltrationTacticalObjectives,exfiltrate via covert channel,Indicates that the malware instance is able to package data for exfiltration.
DataExfiltrationTacticalObjectives,exfiltrate via fax,"Indicates that the malware instance is able to exfiltrate data via dumpster dive (i.e., encoded data printed by malware is viewed as garbage and thrown away to then be physically picked up)."
DataExfiltrationTacticalObjectives,exfiltrate via physical media,Indicates that the malware instance is able to move data to be exfiltrated to a particular server to prepare for exfiltration.
DataExfiltrationTacticalObjectives,encrypt data,Indicates that the malware instance is able to exfiltrate data (encoded as audio) using a phone system.
DataTheftProperties,targeted application,Refers to the name of an application targeted by the ‘steal authentication credentials’ Strategic Objective.
DataTheftProperties,targeted website,Refers to the domain name of a website targeted by the ‘steal web/network credential’ Tactical Objective.
DataTheftStrategicObjectives,steal stored information,"Indicates that the malware instance is able to steal information stored on a system (e.g., files)."
DataTheftStrategicObjectives,steal user data,"Indicates that the malware instance is able to steal user data (e.g., email)."
DataTheftStrategicObjectives,steal system information,"Indicates that the malware instance is able to steal information about a system (e.g., network address data)."
DataTheftStrategicObjectives,steal authentication credentials,Indicates that the malware instance is able to steal authentication credentials.
DataTheftTacticalObjectives,steal dialed phone numbers,Indicates that the malware instance is able to steal the list of phone numbers that a user has dialed.
DataTheftTacticalObjectives,steal email data,Indicates that the malware instance is able to steal a user's email data
DataTheftTacticalObjectives,steal referrer urls,Indicates that the malware instance is able to steal HTTP referrer information (URL of the Web page that linked to the resource being requested).
DataTheftTacticalObjectives,steal cryptocurrency data,"Indicates that the malware instance is able to steal cryptocurrency data (e.g., Bitcoin wallets)."
DataTheftTacticalObjectives,steal pki software certificate,Indicates that the malware instance is able to steal one or more public key infrastructure (PKI) software certificates.
DataTheftTacticalObjectives,steal browser cache,Indicates that the malware instance is able to steal a user's browser cache
DataTheftTacticalObjectives,steal serial numbers,Indicates that the malware instance is able to steal serial numbers stored on a system.
DataTheftTacticalObjectives,steal sms database,Indicates that the malware instance is able to steal a user's short message service (SMS) (text messaging) database.
DataTheftTacticalObjectives,steal cookie,Indicates that the malware instance is able to steal cookies.
DataTheftTacticalObjectives,steal password hash,Indicates that the malware instance is able to steal password hashes.
DataTheftTacticalObjectives,steal make/model,Indicates that the malware instance is able to steal the information on the make and/or model of a system.
DataTheftTacticalObjectives,steal documents,Indicates that the malware instance is able to steal document files stored on a system.
DataTheftTacticalObjectives,steal network address,Indicates that the malware instance is able to steal information about the network addresses used by a system.
DataTheftTacticalObjectives,steal open port,Indicates that the malware instance is able to steal information about the open ports on a system.
DataTheftTacticalObjectives,steal images,Indicates that the malware instance is able to steal image files stored on a system.
DataTheftTacticalObjectives,steal browser history,Indicates that the malware instance is able to steal a user's browser history.
DataTheftTacticalObjectives,steal web/network credential,"Indicates that the malware instance is able to steal usernames, passwords, or other forms of network credentials."
DataTheftTacticalObjectives,steal pki key,Indicates icates that the malware instance is able to steal one or more public key infrastructure (PKI) keys.
DataTheftTacticalObjectives,steal contact list data,Indicates cates that the malware instance is able to steal a user's contact list.
DataTheftTacticalObjectives,steal database content,Indicates that the malware instance is able to steal database content.
DestructionProperties,erasure scope,"Refers to the scope of the erasure performed by the ‘erase data’ Tactical Objective. Recommended values are: 'whole disk', or 'targeted files'."
DestructionStrategicObjectives,destroy physical entity,Indicates that the malware instance is able to destroy a physical entity.
DestructionStrategicObjectives,destroy virtual entity,Indicates that the malware instance is able to destroy a virtual entity.
DestructionTacticalObjectives,erase data,Indicates that the malware instance is able to destroy data by erasure.
DestructionTacticalObjectives,destroy firmware,Indicates that the malware instance is able to destroy a system's firmware.
DestructionTacticalObjectives,destroy hardware,Indicates that the malware instance is able to destroy a system's hardware.
FraudStrategicObjectives,perform premium rate fraud,Indicates that the malware instance is able to send text messages or dial phone numbers that are charged at premium rates.
FraudStrategicObjectives,perform click fraud,Indicates that the malware instance is able to simulate clicks on website advertisements for the purpose of revenue generation.
FraudTacticalObjectives,access premium service,Indicates that the malware instance is able to access a premium service.
InfectionPropagationProperties,scope,"Refers to the scope of the infection or propagation performed by the malware instance via the Infection/Propagation Capability, i.e., whether it infects just the local machine or actively propagates to other machines as well. Recommended values are: 'local' or 'remote'."
InfectionPropagationProperties,infection targeting,"Refers to the type of targeting employed by the ‘infect remote machine’ Strategic Objective, i.e., whether the targeted machines are randomly selected, or chosen from some particular set. Recommended values are: 'targeted', 'semi-targeted', or 'untargeted'."
InfectionPropagationProperties,autonomy,"Refers to the type of autonomy employed by the ‘infect remote machine’ Strategic Objective, i.e., whether the remote infection is performed autonomously. Recommended values are: 'semi-autonomous', 'autonomous'."
InfectionPropagationProperties,targeted file type,"Refers to the types of files targeted by the ‘infect file’ Strategic Objective. It is recommended that files be specified via their extension, e.g., ""exe"", ""pdf"", etc."
InfectionPropagationProperties,targeted file architecture type,Refers to type of file architecture targeted by the ‘infect file’ Strategic Objective. Recommended values are: '32 bit' or '64 bit'.
InfectionPropagationProperties,file infection type,"Refers to the type of file infection employed by the ‘infect file’ Strategic Objective. Recommended values are: 'appending', 'prepending', 'overwriting', 'companion', 'variable key', 'polymorphic', or 'metamorphic'."
InfectionPropagationStrategicObjectives,prevent duplicate infection,Indicates that the malware instance is able to prevent itself from infecting a machine multiple times.
InfectionPropagationStrategicObjectives,infect file,Indicates that the malware instance is able to infect a file.
InfectionPropagationStrategicObjectives,infect remote machine,Indicates that the malware instance is able to self-propagate or infect a machine with malware that is different than itself.
InfectionPropagationTacticalObjectives,identify file,"Indicates that the malware instance is able to identify a file or files on a local, removable, and/or network drive for infection."
InfectionPropagationTacticalObjectives,perform autonomous remote infection,"Indicates that the malware instance is able to infect a remote machine autonomously, without the involvement of any end user (e.g., through the exploitation of a remote procedure call vulnerability)."
InfectionPropagationTacticalObjectives,identify target machine(s),"Indicates that the malware instance is able to identify one or more machines to be targeted for infection via some remote means (e.g., via email or the network)."
InfectionPropagationTacticalObjectives,perform social-engineering based remote infection,"Indicates that the malware instance is able to infect remote machines via some method that involves social engineering (e.g., sending an email with a malicious attachment)."
InfectionPropagationTacticalObjectives,inventory victims,indicates that the malware instance is able to keep an inventory of the victims that it remotely infects.
InfectionPropagationTacticalObjectives,write code into file,indicates that the malware instance is able to write code into a file.
InfectionPropagationTacticalObjectives,modify file,"indicates that the malware instance is able to modify a file in some other manner than writing code to it, such as packing it (in terms of binary executable packing)."
IntegrityViolationStrategicObjectives,compromise system operational integrity,Indicates that the malware instance is able to compromise the operational integrity of a system.
IntegrityViolationStrategicObjectives,compromise user data integrity,Indicates that the malware instance is able to compromise a system's user data.
IntegrityViolationStrategicObjectives,annoy user,Indicates that the malware instance is able to annoy the users of a system.
IntegrityViolationStrategicObjectives,compromise network operational integrity,Indicate that the malware instance is able to compromise the operational integrity of a network.
IntegrityViolationStrategicObjectives,compromise system data integrity,Indicates that the malware instance is able to compromise the integrity of a system's data.
IntegrityViolationTacticalObjectives,subvert system,Indicates that the malware instance is able to subvert a system to perform beyond its operational boundaries or to perform tasks for which it was not originally intended.
IntegrityViolationTacticalObjectives,corrupt system data,Indicates that the malware instance is able to corrupt a system's data.
IntegrityViolationTacticalObjectives,annoy local system user,Indicates that the malware instance is able to annoy local system users.
IntegrityViolationTacticalObjectives,intercept/manipulate network traffic,Indicates that the malware is able to intercept and/or manipulate traffic on a network.
IntegrityViolationTacticalObjectives,annoy remote user,Indicates that the malware instance is able to annoy a remote user.
IntegrityViolationTacticalObjectives,corrupt user data,Indicates that the malware instance is able to corrupt a system's user data.
MachineAccessControlProperties,backdoor type,"Refers to the type of backdoor, e.g., reverse shell, employed by the ‘install backdoor’ Strategic Objective."
MachineAccessControlStrategicObjectives,control local machine,"Indicates that the malware instance is able to control the machine on which it is resident. Examples of malware with this capability include bots, backdoors, and RATs."
MachineAccessControlStrategicObjectives,install backdoor,"Indicates that the malware instance is able to install a backdoor, capable of providing covert remote access to the machine on which it is resident."
MachineAccessControlTacticalObjectives,control machine via remote command,"Indicates that the malware instance is able to execute commands issued to it from a remote source, for the purpose of controlling the machine on which it is resident."
PersistenceProperties,scope,"Refers to the scope of persistence employed by the persistence Capability, i.e., whether the malware instance make itself persist, or whether it makes other malware components persist. Recommended values are: 'self', or 'other malware/components'."
PersistenceStrategicObjectives,persist to re-infect system,Indicates that the malware instance is able to re-infect a system after some of its components have been removed.
PersistenceStrategicObjectives,gather information for improvement,Indicates that the malware instance is able to gather information from its environment to make itself less likely to be detected.
PersistenceStrategicObjectives,ensure compatibility,Indicates that the malware instance is able to manipulate or modify the system on which it executes to ensure that it is able to continue executing.
PersistenceStrategicObjectives,persist to continuously execute on system,"Indicates that the malware instance is able to continue to execute on a system after significant system events (e.g., after a reboot)."
PersistenceTacticalObjectives,reinstantiate self after initial detection,Indicates that the malware instance s able to re-establish itself on the system after it is initially detected.
PersistenceTacticalObjectives,limit application type/version,Indicates that the malware instance is able to limit the type or version of an application that runs on a system in order to ensure that it is able to continue executing.
PersistenceTacticalObjectives,persist after os install/reinstall,Indicates that the malware instance is able to continue to execute after the operating system is installed or reinstalled.
PersistenceTacticalObjectives,drop/retrieve debug log file,Indicates that the malware instance is able to generate and retrieve a log file of errors associated with the malware.
PersistenceTacticalObjectives,persist independent of hard disk/os changes,Indicates that the malware instance is able to continue to execute after changes to the hard disk or the operating system have been made.
PersistenceTacticalObjectives,persist after system reboot,Indicates that the malware instance is able to continue to execute after a system reboot.
PrivilegeEscalationProperties,user privilege escalation type,"Refers to the type of user privilege escalation employed by the ‘escalate user privilege’ Strategic Objective. Recommended values are: 'horizontal', or 'vertical'."
PrivilegeEscalationStrategicObjectives,impersonate user,Indicates that the malware instance is able to impersonate another user to operate within a different security context (also known as horizontal privilege escalation).
PrivilegeEscalationStrategicObjectives,escalate user privilege,Indicates that the malware instance is able to obtain a higher level of access than intended by the system (also known as vertical privilege escalation).
PrivilegeEscalationTacticalObjectives,elevate cpu mode,Indicates that the malware instance is able to elevate the CPU (processor) mode under which it executes.
ProbingStrategicObjectives,probe host configuration,Indicates that the malware instance is able to probe the configuration of the host system on which it executes.
ProbingStrategicObjectives,probe network configuration,"Indicates that the malware instance is able to probe the properties of its network environment, e.g., to determine whether it funnels traffic through a proxy."
ProbingTacticalObjectives,identify os,Indicates that the malware instance is able to identify the operating system under which it executes.
ProbingTacticalObjectives,check for proxy,Indicates that the malware instance is able to check whether the network environment in which it executes contains a hardware or software proxy.
ProbingTacticalObjectives,check for firewall,Indicates that the malware instance is able to check whether the network environment in which it executes contains a hardware or software firewall.
ProbingTacticalObjectives,check for network drives,Indicates that the malware instance is able to check for network drives that may be present in the network environment.
ProbingTacticalObjectives,map local network,Indicates that the malware instance is able to map the layout of the local network environment in which it executes.
ProbingTacticalObjectives,inventory system applications,Indicates that the malware instance is able to inventory the applications installed on the system on which it executes.
ProbingTacticalObjectives,check language,Indicates that the malware instance is able to check the language of the host system on which it executes.
ProbingTacticalObjectives,check for internet connectivity,Indicates that the malware instance is able to check whether the network environment in which it executes is connected to the internet.
RemoteMachineManipulationStrategicObjectives,access remote machine,Indicates that the malware instance is able to access a remote machine.
RemoteMachineManipulationStrategicObjectives,search for remote machine,Indicates that the malware instance is able to search for remote machines to target.
RemoteMachineManipulationTacticalObjectives,compromise remote machine,Indicates that the malware instance is able to gain control of a remote machine through compromise.
SecondaryOperationProperties,trigger type,"Refers to a description of the trigger used to wake or terminate the malware instance in the ‘lie dormant’ or ‘suicide exit’ Strategic Objectives, respectively."
SecondaryOperationStrategicObjectives,patch operating system file(s),Indicates that the malware instance is able to patch or modify the critical system files of the operating system under which it executes.
SecondaryOperationStrategicObjectives,remove traces of infection,Indicates that the malware instance is able to remove traces of its infection of a system.
SecondaryOperationStrategicObjectives,log activity,Indicates that the malware instance is able to log its own activity.
SecondaryOperationStrategicObjectives,lay dormant,Indicates that the malware instance is able to lay dormant on a system for some period of time.
SecondaryOperationStrategicObjectives,install other components,"Indicates that the malware instance is able to install additional components. This encompasses the dropping/downloading of other malicious components such as libraries, other malware, and tools."
SecondaryOperationStrategicObjectives,suicide exit,Indicates that the malware instance is able to terminate itself based on some condition or value.
SecondaryOperationTacticalObjectives,install secondary module,Indicates that the malware instance is able to install a secondary module (typically related to itself).
SecondaryOperationTacticalObjectives,install secondary malware,Indicates that the malware instance is able to install another malware instance.
SecondaryOperationTacticalObjectives,install legitimate software,Indicates that the malware instance is able to install legitimate software.
SecondaryOperationTacticalObjectives,remove self,Indicates that the malware instance is able to remove itself from the system.
SecondaryOperationTacticalObjectives,remove system artifacts,Indicates that the malware instance is able to remove its artifacts from a system.
SecurityDegradationProperties,targeted program,Refers to the name of a program targeted by the ‘degrade security programs’ Strategic Objective or one of its child Tactical Objectives.
SecurityDegradationStrategicObjectives,disable server provider security features,Indicates that the malware instance is able to bypass or disable third-party security features that would otherwise identify or notify users of its presence.
SecurityDegradationStrategicObjectives,degrade security programs,"Indicates that the malware instance is able to degrade security programs running on a system, either by stopping them from executing or by making changes to their code or configuration parameters."
SecurityDegradationStrategicObjectives,disable system updates,Indicates that the malware instance is able to disable the downloading and installation of system updates.
SecurityDegradationStrategicObjectives,disable os security features,Indicates that the malware instance is able to bypass inherent operating system security mechanisms that typically involve elevated privileges.
SecurityDegradationStrategicObjectives,disable [host-based or os] access controls,Indicates that the malware instance is able to bypass access control mechanisms designed to prevent unauthorized or unprivileged use or execution of applications or files.
SecurityDegradationTacticalObjectives,stop execution of security program,Indicates that the malware instance is able to stop one or more security programs that may already be executing on a system.
SecurityDegradationTacticalObjectives,disable firewall,Indicates that the malware instance is able to evade or disable the host-based firewall or otherwise prevent the blocking of network communications.
SecurityDegradationTacticalObjectives,disable access right checking,"Indicates that the malware instance is able to bbypass, disable, or modify the access tokens or access control lists, thereby enabling the malware to read, write, or execute a file with one or more of these controls set."
SecurityDegradationTacticalObjectives,disable kernel patching protection,Indicates that the malware instance is able to bypass or disable PatchGuard; thus it is capable of operating at the same level as the kernel and kernel mode drivers (KMD).
SecurityDegradationTacticalObjectives,prevent access to security websites,Indicates that the malware instance is able to prevent access from a system to one or more security vendor or security-related websites.
SecurityDegradationTacticalObjectives,remove sms warning messages,Indicates that the malware instance is able to capture the message body of incoming SMS messages and abort the broadcasting of a message that meets a certain criteria.
SecurityDegradationTacticalObjectives,modify security program configuration,Indicates that the malware instance is able to modify the configuration of one or more security programs running on a system in order to hamper their usefulness and ability to detect the malware instance.
SecurityDegradationTacticalObjectives,prevent security program from running,Indicates that the malware instance is able to prevent one or more security programs from running on a system.
SecurityDegradationTacticalObjectives,disable system update services/daemons,Indicates that the malware instance is able to disable system update services or daemons that may be running on a system.
SecurityDegradationTacticalObjectives,disable system service pack/patch installation,Indicates that the malware instance is able to disable the system's ability to install service packs or patches.
SecurityDegradationTacticalObjectives,disable system file overwrite protection,"Indicates that the malware instance is able to bypass or disable the Windows file protection feature; thus, enabling system files to be modified or replaced."
SecurityDegradationTacticalObjectives,disable privilege limiting,Indicates that the malware instance is able to bypass controls that limit the privileges that can be granted to a user or entity.
SecurityDegradationTacticalObjectives,gather security product info,Indicates that the malware instance is able to gather information about the security products installed or running on a system.
SecurityDegradationTacticalObjectives,disable os security alerts,Indicates that the malware instance is able to evade or disable identification and/or notification of its presence by inherent features of the operating system.
SecurityDegradationTacticalObjectives,disable user account control,"Indicates that the malware instance is able to bypass or disable user account control (UAC); thus, enabling a user to run an application with elevated privileges."
SpyingStrategicObjectives,capture system input peripheral data,Indicates that the malware instance is able to capture data from a system's input peripheral devices.
SpyingStrategicObjectives,capture system state data,"Indicates that the malware instance is able to capture information about a system's state (e.g., from its RAM)."
SpyingStrategicObjectives,capture system interface data,Indicates that the malware instance is able to capture data from a system's interfaces.
SpyingStrategicObjectives,capture system output peripheral data,indicates that the malware instance is able to capture data sent to a system's output peripheral devices.
SpyingTacticalObjectives,capture system screenshot,"Indicates that the malware instance is able to capture images of what is currently being displayed on a system's screen, either locally or remotely via a remote desktop protocol."
SpyingTacticalObjectives,capture camera input,Indicates that the malware instance is able to capture data from a system's camera.
SpyingTacticalObjectives,capture file system,Indicates that the malware instance is able to capture data from a system's file system.
SpyingTacticalObjectives,capture printer output,Indicates that the malware instance is able to capture data sent to a system's printer.
SpyingTacticalObjectives,capture gps data,Indicates that the malware instance is able to capture system GPS data.
SpyingTacticalObjectives,capture keyboard input,Indicates that the malware instance is able to capture data from a system's keyboard.
SpyingTacticalObjectives,capture mouse input,Indicates that the malware instance is able to capture data from a system's mouse.
SpyingTacticalObjectives,capture microphone input,Indicates that the malware instance is able to capture data from a system's microphone.
SpyingTacticalObjectives,capture system network traffic,Indicates that the malware instance is able to capture system network traffic.
SpyingTacticalObjectives,capture touchscreen input,Indicates that the malware instance is able to capture data from a system's touchscreen.
SpyingTacticalObjectives,capture system memory,Indicates that the malware instance is able to capture data from a system's RAM.
MalwareConfigurationParameter,magic number,Refers to a configuration parameter that captures a file signature that may be used to identify or validate the content the malware instance.
MalwareConfigurationParameter,id,Refers to a configuration parameter that captures an identifier for the malware instance.
MalwareConfigurationParameter,group id,Refers to a configuration parameter that captures an identifier for a collection of malware instances.
MalwareConfigurationParameter,mutex,Refers to a configuration parameter that captures a unique mutex value associated the malware instance.
MalwareConfigurationParameter,filename,Refers to a configuration parameter that captures the name of a malicious binary such as one that is downloaded or embedded within the malware instance.
MalwareConfigurationParameter,installation path,"Refers to a configuration parameter that captures a location on disk to which the malware instance is installed, copied, or moved."
MalwareDevelopmentTool,builder,Specifies a malware builder tool (commonly used to mass-produce malware) that was used to generate the malware instance.
MalwareDevelopmentTool,compiler,Specifies a compiler tool that was used to compile the code composing the malware instance.
MalwareDevelopmentTool,linker,Specifies a linker tool that was used to link the object files associated with the malware instance.
MalwareDevelopmentTool,packer,Specifies a packer tool that was used to shrink the size of the executable binary associated with the malware instance. Packers are also sometimes referred to as 'compressors'.
MalwareDevelopmentTool,crypter,Specifies a crypter tool that was used to encrypt the executable binary associated with the malware instance.
MalwareDevelopmentTool,protector,Specifies a protector tool that was used to obfuscate the executable binary associated with the malware instance to make it more difficult to reverse engineer.
MalwareSubjectRelationshipType,downloads,Specifies that the Malware Subject downloads one or more other Malware Subject (s).
MalwareSubjectRelationshipType,downloaded by,Specifies that the current Malware Subject was downloaded by one or more other Malware Subject(s).
MalwareSubjectRelationshipType,drops,Specifies that the Malware Subject drops (or writes to disk) one or more other Malware Subject(s).
MalwareSubjectRelationshipType,dropped by,Specifies that the current Malware Subject was dropped (or written to disk) by one or more other Malware Subject(s).
MalwareSubjectRelationshipType,extracts,Specifies that the Malware Subject extracts (from an embedded archive or another container) one or more other Malware Subject(s).
MalwareSubjectRelationshipType,extracted from,Specifies that the current Malware Subject was extracted from one or more other Malware Subject(s).
MalwareSubjectRelationshipType,direct descendant of,Specifies that the current Malware Subject is a direct descendant (i.e. in terms of development lineage) of one or more other Malware Subject(s).
MalwareSubjectRelationshipType,direct ancestor of,Specifies that the current Malware Subject is a direct ancestor (i.e. in terms of development lineage) of one or more other Malware Subject(s).
MalwareSubjectRelationshipType,memory image of,Specifies that the current Malware Subject represents a memory image associated with one or more other Malware Subject(s).
MalwareSubjectRelationshipType,contained in memory image,Specifies that the current Malware Subject is a malware binary or component contained in one or more other Malware Subject(s) that represent memory images.
MalwareSubjectRelationshipType,disk image of,Specifies that the current Malware Subject represents a disk image associated with one or more other Malware Subject(s).
MalwareSubjectRelationshipType,contained in disk image,Specifies that the current Malware Subject is a malware binary or component contained in one or more other Malware Subject(s) that represent disk images.
MalwareSubjectRelationshipType,network traffic capture of,Specifies that the current Malware Subject represents captured network traffic associated with one or more other Malware Subject(s).
MalwareSubjectRelationshipType,contained in network traffic capture,Specifies that the current Malware Subject is a malware binary or component contained in one or more other Malware Subject(s) that represent captures of network traffic.
MalwareSubjectRelationshipType,packed version of,Specifies that the current Malware Subject represents a packed version (in terms of executable binary packing) of one or more other Malware Subject(s).
MalwareSubjectRelationshipType,unpacked version of,Specifies that the current Malware Subject represents an unpacked version (in terms of executable binary packing) of one or more other Malware Subject(s).
MalwareSubjectRelationshipType,installs,Specifies that the current Malware Subject installs one or more other Malware Subject(s).
MalwareSubjectRelationshipType,installed by,Specifies that the current Malware Subject is installed by one or more other Malware Subject(s).
